ID d'incident,Timestamp,Type d'incident,Description,Severité,Statut,Responsable
19,2023-08-19 10:39:24,Autre,Conclure rendre promener.,Élevée,Résolu,Equipe Sécurité
20,2023-07-24 10:55:49,Défaillance logicielle,Frère voler donner avenir presser noir.,Moyenne,En cours,Equipe Réseau
21,2023-11-02 03:15:59,Autre,Croire faire garçon contre côte palais.,Faible,En cours,Equipe Réseau
22,2023-08-07 09:05:03,Panne matérielle,Raison précis décrire également haut demeurer.,Faible,Ouvert,Equipe Sécurité
23,2022-11-19 13:04:57,Panne matérielle,Miser seigneur difficile.,Moyenne,Résolu,Equipe Réseau
24,2024-06-17 19:00:01,Défaillance logicielle,Course possible certainement.,Élevée,Résolu,Equipe Sécurité
25,2023-01-18 07:41:20,Intrusion,Humide rester trait verre point mur.,Faible,En cours,Equipe Sécurité
26,2024-04-21 05:55:44,Autre,Sérieux autre discuter mener peser.,Moyenne,Résolu,Equipe Réseau
27,2023-07-21 12:16:20,Défaillance logicielle,Quart arriver pauvre rond loup.,Faible,En cours,Equipe Support
28,2022-11-02 07:08:13,Intrusion,Pencher juger cruel.,Faible,Résolu,Equipe Support
29,2023-02-26 02:48:18,Intrusion,Yeux reprendre instant midi signer dieu.,Élevée,Résolu,Equipe Support
30,2023-05-28 23:05:05,Panne matérielle,Cabinet ligne habiter étage.,Faible,Résolu,Equipe Support
31,2024-06-20 19:36:24,Autre,Sourire sentiment pouvoir peur.,Moyenne,Résolu,Equipe Support
32,2024-06-05 04:18:04,Intrusion,Avancer doigt autre or surveiller.,Faible,En cours,Equipe Sécurité
33,2023-10-02 13:42:57,Défaillance logicielle,Toile parfois fil porte pénétrer nouveau.,Moyenne,Ouvert,Equipe Sécurité
34,2023-12-24 02:04:33,Défaillance logicielle,Employer lumière agent.,Moyenne,En cours,Equipe Réseau
35,2022-08-10 22:09:59,Panne matérielle,Vêtir lorsque époque.,Élevée,Résolu,Equipe Réseau
36,2024-01-26 22:23:16,Défaillance logicielle,Sentier lumière bouche.,Moyenne,Ouvert,Equipe Support
37,2023-04-09 21:50:39,Panne matérielle,Joindre mensonge monter sans afin de but.,Élevée,Ouvert,Equipe Support
38,2023-09-10 01:32:14,Panne matérielle,Toile spectacle départ.,Moyenne,Ouvert,Equipe Réseau
39,2022-09-07 10:09:15,Panne matérielle,Acte espoir lentement assez être.,Faible,Résolu,Equipe Support
40,2022-11-28 12:43:08,Intrusion,Préparer effort image toit convenir.,Moyenne,Ouvert,Equipe Support
41,2023-03-09 09:16:04,Défaillance logicielle,Fin front haut exemple enlever compter.,Moyenne,Ouvert,Equipe Support
42,2023-11-23 12:54:48,Défaillance logicielle,Reprendre milieu tôt étouffer exiger.,Moyenne,Résolu,Equipe Sécurité
43,2024-05-09 10:20:55,Défaillance logicielle,Plan sérieux court tu humide perdu.,Élevée,Ouvert,Equipe Support
44,2023-04-19 15:22:25,Intrusion,Selon roi nez essuyer entretenir cent.,Élevée,Ouvert,Equipe Réseau
45,2024-06-15 00:14:19,Panne matérielle,Maison immense respirer chair rassurer devoir.,Élevée,Résolu,Equipe Support
46,2024-07-02 21:11:44,Intrusion,Combat tantôt soin fier.,Moyenne,En cours,Equipe Support
47,2023-03-02 03:04:40,Autre,Pitié juge ordre étudier traîner.,Faible,En cours,Equipe Réseau
48,2023-03-05 12:48:43,Défaillance logicielle,Précieux être membre court.,Moyenne,En cours,Equipe Sécurité
49,2022-09-06 15:49:55,Intrusion,Âgé blanc retomber.,Élevée,Résolu,Equipe Réseau
50,2023-12-19 17:29:40,Défaillance logicielle,Convenir type mériter promener secours car.,Faible,Ouvert,Equipe Sécurité
51,2024-01-10 16:14:44,Défaillance logicielle,Patron ancien rien chaise mieux etc.,Moyenne,Ouvert,Equipe Support
52,2024-02-29 17:45:28,Panne matérielle,Horizon haut ordre fonder envelopper.,Moyenne,En cours,Equipe Réseau
53,2023-02-27 00:25:03,Autre,Sec inspirer ouvrage.,Élevée,En cours,Equipe Sécurité
54,2022-09-08 08:04:33,Intrusion,Pain peu fleur demi livre.,Élevée,Ouvert,Equipe Support
55,2024-03-26 21:11:03,Intrusion,Bois essayer casser.,Moyenne,Ouvert,Equipe Réseau
56,2022-12-05 11:51:41,Autre,Renoncer certes reconnaître police papier condamner.,Faible,Ouvert,Equipe Support
57,2023-06-22 15:27:18,Défaillance logicielle,Sans face jeune bois dernier rien.,Faible,Ouvert,Equipe Réseau
58,2023-05-18 15:01:53,Intrusion,Résultat rejeter douleur rapide docteur.,Élevée,En cours,Equipe Sécurité
59,2022-10-20 22:53:43,Défaillance logicielle,Neuf étouffer yeux.,Élevée,En cours,Equipe Sécurité
60,2024-03-08 03:54:43,Intrusion,Payer soirée réflexion traiter.,Moyenne,Ouvert,Equipe Support
61,2023-01-04 16:05:32,Panne matérielle,Siège naître entrée sec.,Faible,En cours,Equipe Sécurité
62,2022-09-20 16:18:02,Panne matérielle,Dont souffler absolument précéder.,Moyenne,Ouvert,Equipe Réseau
63,2023-11-14 08:51:33,Autre,Chef quoi escalier fermer aventure.,Élevée,Résolu,Equipe Sécurité
64,2022-10-30 03:16:10,Autre,Envoyer dur nombreux frais essuyer impression.,Élevée,Résolu,Equipe Sécurité
65,2022-11-06 12:42:07,Panne matérielle,Taire ressembler justice désigner sentiment.,Moyenne,Résolu,Equipe Sécurité
66,2022-08-31 13:42:20,Autre,Rapporter chambre fin.,Élevée,En cours,Equipe Support
67,2024-04-08 00:04:47,Intrusion,Or jaune fine mort montagne drôle.,Moyenne,Résolu,Equipe Support
68,2024-05-28 18:20:11,Intrusion,Rayon direction naître général conduire souffrance.,Faible,En cours,Equipe Sécurité
69,2023-04-03 22:05:23,Autre,Guerre intelligence davantage être demande.,Élevée,Résolu,Equipe Support
70,2022-12-01 05:33:03,Intrusion,Disposer peuple tuer vision créer tapis.,Élevée,En cours,Equipe Réseau
71,2023-01-15 18:41:17,Intrusion,Soirée sourd résister du.,Moyenne,Ouvert,Equipe Sécurité
72,2024-02-20 02:39:23,Intrusion,Claire art revoir chant ton aujourd'hui.,Faible,Ouvert,Equipe Réseau
73,2022-11-29 07:20:11,Autre,Respect auteur moindre tout.,Élevée,Ouvert,Equipe Sécurité
74,2023-06-26 07:37:19,Intrusion,Vieil voiture personne.,Faible,En cours,Equipe Réseau
75,2023-07-14 17:52:11,Panne matérielle,Réussir politique aspect aussitôt sous.,Élevée,Résolu,Equipe Support
76,2023-06-06 21:51:03,Autre,Siège payer mien retourner lier précis.,Moyenne,Résolu,Equipe Sécurité
77,2024-04-18 16:53:07,Défaillance logicielle,Partie signer monsieur homme moindre remercier.,Moyenne,Ouvert,Equipe Réseau
78,2023-05-13 11:49:41,Défaillance logicielle,Soin éclater famille.,Élevée,En cours,Equipe Réseau
79,2022-08-25 08:46:54,Défaillance logicielle,Ne commencer banc puissant présenter oui personne.,Élevée,En cours,Equipe Support
80,2023-01-19 18:56:49,Intrusion,Plein inutile sérieux ceci anglais.,Faible,Ouvert,Equipe Réseau
81,2024-07-19 10:45:47,Autre,Ne avoir fumer mentir.,Moyenne,Résolu,Equipe Support
82,2024-07-11 03:01:48,Défaillance logicielle,Désespoir payer cela fou.,Moyenne,Ouvert,Equipe Réseau
83,2022-08-29 14:03:15,Autre,Davantage accord intérieur.,Élevée,Résolu,Equipe Support
84,2023-10-19 15:05:47,Intrusion,Connaître avenir paix curiosité promettre.,Moyenne,Résolu,Equipe Support
85,2023-11-30 08:25:26,Intrusion,Demeurer gris mauvais ramasser pointe.,Faible,Ouvert,Equipe Support
86,2023-03-16 13:31:07,Intrusion,Cerveau chambre maison dix vérité.,Élevée,En cours,Equipe Support
87,2024-05-21 02:58:09,Panne matérielle,Mais dès mari véritable.,Élevée,Ouvert,Equipe Sécurité
88,2022-08-27 21:08:31,Défaillance logicielle,Devoir paysage même certain larme entrée.,Moyenne,Résolu,Equipe Support
89,2022-11-28 05:15:19,Panne matérielle,Épaule sien mine reculer.,Faible,Ouvert,Equipe Sécurité
90,2024-05-12 13:39:15,Intrusion,Descendre tache sérieux.,Faible,Résolu,Equipe Réseau
91,2024-04-12 22:43:28,Défaillance logicielle,Race être assister.,Moyenne,Résolu,Equipe Sécurité
92,2024-07-21 00:37:39,Intrusion,Visage rouler souhaiter officier poète.,Élevée,En cours,Equipe Support
93,2024-06-04 03:19:00,Intrusion,Image vraiment époque.,Faible,Ouvert,Equipe Réseau
94,2023-11-23 00:45:52,Autre,Cuisine souvenir entraîner.,Moyenne,Résolu,Equipe Sécurité
95,2024-02-01 22:33:41,Panne matérielle,Départ vite premier.,Élevée,Ouvert,Equipe Support
96,2024-02-20 10:00:44,Intrusion,Serrer impression garde souvent joie.,Faible,En cours,Equipe Réseau
97,2023-08-11 00:37:15,Panne matérielle,Puisque clair quand reculer de.,Élevée,En cours,Equipe Support
98,2023-02-08 14:10:39,Panne matérielle,Livre colline pouvoir puissance mari.,Faible,Ouvert,Equipe Support
99,2022-09-22 16:05:10,Panne matérielle,Brusquement changement vêtement embrasser en vieux.,Élevée,Résolu,Equipe Sécurité
100,2024-04-12 22:23:08,Intrusion,Abandonner jeu puis.,Élevée,En cours,Equipe Réseau
101,2022-10-14 13:19:37,Défaillance logicielle,Erreur craindre sommeil.,Élevée,Ouvert,Equipe Support
102,2023-06-02 14:19:03,Défaillance logicielle,Demi banc obtenir.,Faible,En cours,Equipe Réseau
103,2023-10-13 20:15:06,Défaillance logicielle,Fixe subir fine doucement nom âme.,Élevée,En cours,Equipe Sécurité
104,2023-06-07 03:02:31,Intrusion,Personne absence ce an vraiment.,Moyenne,Résolu,Equipe Sécurité
105,2023-08-18 18:55:04,Autre,Besoin souvent expliquer chef usage.,Élevée,Résolu,Equipe Sécurité
106,2023-07-29 20:26:43,Autre,Vague convenir casser.,Élevée,Ouvert,Equipe Sécurité
107,2024-06-23 12:01:21,Intrusion,Puis certainement deux toit croire promener.,Élevée,Résolu,Equipe Sécurité
108,2024-07-22 12:02:40,Intrusion,Geste payer vous.,Élevée,Résolu,Equipe Réseau
109,2023-01-24 05:01:03,Panne matérielle,Doigt été voyage.,Moyenne,En cours,Equipe Sécurité
110,2024-08-05 06:25:30,Défaillance logicielle,Craindre vouloir engager absolument soin accepter.,Faible,Résolu,Equipe Sécurité
111,2023-11-08 21:55:48,Intrusion,Maladie souffrir faible réel intérieur étranger.,Faible,Ouvert,Equipe Sécurité
112,2023-10-21 11:17:15,Défaillance logicielle,Étage principe grain très sentiment façon.,Faible,Ouvert,Equipe Support
113,2023-01-22 13:46:51,Défaillance logicielle,Feuille brusquement hier mot acte.,Élevée,Ouvert,Equipe Support
114,2023-06-08 11:20:50,Intrusion,Juger âgé dépasser.,Moyenne,En cours,Equipe Réseau
115,2024-01-24 10:57:11,Autre,Unique même tenter ton.,Moyenne,Résolu,Equipe Support
116,2024-04-02 00:08:52,Autre,Nerveux arriver inutile résister pencher voilà.,Élevée,Résolu,Equipe Sécurité
117,2024-03-05 08:21:07,Intrusion,Soldat peu après bleu.,Élevée,En cours,Equipe Support
118,2023-07-31 20:27:34,Défaillance logicielle,Loin éloigner respirer attention voix quatre.,Moyenne,Ouvert,Equipe Sécurité
119,2023-08-11 10:34:28,Intrusion,Lieu cerveau nation toi.,Faible,En cours,Equipe Sécurité
120,2024-05-28 23:07:16,Autre,Route herbe meilleur sentier auprès.,Faible,Résolu,Equipe Sécurité
121,2022-12-31 09:10:55,Défaillance logicielle,Perdre si respirer façon.,Moyenne,Ouvert,Equipe Support
122,2022-08-26 08:52:54,Intrusion,Établir examiner rendre sien partir.,Moyenne,En cours,Equipe Réseau
123,2024-04-28 05:56:46,Intrusion,Un discuter ensemble.,Moyenne,Résolu,Equipe Sécurité
124,2024-02-12 22:39:47,Panne matérielle,Éprouver lisser éloigner.,Faible,Ouvert,Equipe Support
125,2023-05-29 02:24:49,Intrusion,Bureau compagnie vert fonder.,Moyenne,En cours,Equipe Réseau
126,2024-02-21 10:12:03,Autre,Histoire corps garçon bord depuis.,Élevée,En cours,Equipe Sécurité
127,2024-04-20 19:26:43,Autre,Arriver jouer garçon.,Moyenne,En cours,Equipe Réseau
128,2023-11-21 01:47:25,Autre,Nord lune vaste bon nord.,Moyenne,En cours,Equipe Support
129,2023-05-17 21:34:14,Défaillance logicielle,Soi volonté manquer sol.,Élevée,Résolu,Equipe Réseau
130,2023-01-27 20:34:49,Panne matérielle,Endormir prévoir passer hors je.,Élevée,Résolu,Equipe Sécurité
131,2022-10-08 04:09:10,Intrusion,Chaud delà foule.,Élevée,Ouvert,Equipe Réseau
132,2023-03-25 01:43:16,Intrusion,Lieu cinq hauteur devant emmener durant.,Moyenne,Résolu,Equipe Support
133,2024-05-10 16:32:20,Autre,Mais étoile confier jeu certain.,Élevée,Résolu,Equipe Réseau
134,2023-09-22 03:44:35,Autre,Roman réalité dernier escalier rêver.,Faible,Résolu,Equipe Réseau
135,2024-03-13 21:24:13,Autre,Devoir confier retourner apparence entrée poste.,Faible,Résolu,Equipe Sécurité
136,2023-12-14 02:46:22,Panne matérielle,Briser corde prince soi bas.,Moyenne,En cours,Equipe Support
137,2023-03-20 21:55:00,Autre,Ceci tard accrocher devant miser flamme.,Élevée,Résolu,Equipe Réseau
138,2022-08-28 09:16:57,Panne matérielle,Deviner soldat lutte apprendre.,Moyenne,En cours,Equipe Réseau
139,2022-12-19 23:13:54,Autre,Faveur voler entier garçon seulement.,Élevée,Ouvert,Equipe Réseau
140,2022-08-21 08:37:59,Défaillance logicielle,Trait égal puissance droite soin.,Moyenne,Ouvert,Equipe Support
141,2023-02-25 03:15:39,Défaillance logicielle,Ruine traîner attitude juger.,Faible,Résolu,Equipe Support
142,2023-01-02 15:35:28,Défaillance logicielle,Silence robe proposer pur frère.,Moyenne,Résolu,Equipe Sécurité
143,2024-06-05 12:06:59,Intrusion,Matière sujet émotion mémoire tracer goutte.,Faible,En cours,Equipe Réseau
144,2023-09-20 21:38:38,Panne matérielle,Répéter ramasser brusquement.,Faible,En cours,Equipe Support
145,2024-03-05 00:31:46,Panne matérielle,Entre tache seuil.,Moyenne,En cours,Equipe Support
146,2024-04-12 22:38:48,Intrusion,Bon froid arrière quel large un.,Moyenne,En cours,Equipe Réseau
147,2023-04-28 20:06:17,Autre,Neuf vieillard as angoisse oeil.,Faible,Résolu,Equipe Support
148,2022-08-27 23:26:49,Intrusion,Maintenant noire seul lien tendre.,Moyenne,En cours,Equipe Support
149,2023-05-16 05:58:34,Panne matérielle,Sable prier donner chasser enfermer.,Faible,En cours,Equipe Sécurité
150,2023-03-30 01:28:11,Panne matérielle,Supporter aller après fatiguer.,Moyenne,Ouvert,Equipe Réseau
151,2024-03-14 11:40:06,Défaillance logicielle,Moins jaune nombre résultat inquiétude meilleur.,Faible,Ouvert,Equipe Support
152,2023-10-26 00:02:54,Autre,Envie abandonner rocher.,Moyenne,Ouvert,Equipe Support
153,2024-05-03 01:28:58,Autre,Soir folie contraire rue grâce.,Élevée,Ouvert,Equipe Réseau
154,2023-09-04 18:24:38,Intrusion,Vêtement simplement pareil simple remarquer.,Élevée,Résolu,Equipe Sécurité
155,2023-07-03 20:09:36,Défaillance logicielle,Homme d'abord renverser crise sûr.,Moyenne,En cours,Equipe Support
156,2023-12-29 23:22:14,Intrusion,Objet particulier attention.,Moyenne,Résolu,Equipe Sécurité
157,2024-01-14 15:31:55,Panne matérielle,Imaginer joie usage repousser.,Élevée,Résolu,Equipe Support
158,2023-11-29 02:02:18,Autre,Relever ou chaleur escalier.,Moyenne,Résolu,Equipe Réseau
159,2023-11-22 02:22:57,Panne matérielle,Pierre achever subir.,Moyenne,Résolu,Equipe Support
160,2024-02-11 22:57:10,Autre,Dont signe content car leur froid.,Faible,Ouvert,Equipe Support
161,2023-01-13 22:07:23,Défaillance logicielle,Glisser pas rendre apercevoir tracer traiter.,Élevée,En cours,Equipe Réseau
162,2023-12-12 17:11:27,Intrusion,Violence marquer sauter venir.,Faible,Résolu,Equipe Support
163,2023-05-20 18:17:05,Défaillance logicielle,Pur ramasser oncle.,Élevée,En cours,Equipe Réseau
164,2023-08-08 05:50:50,Autre,L'Une ordre sommeil tenir réunir.,Faible,Ouvert,Equipe Support
165,2022-09-16 21:49:58,Panne matérielle,Face noir voilà.,Faible,Ouvert,Equipe Sécurité
166,2023-06-08 05:36:58,Intrusion,Prêter deux fin trait souvenir.,Faible,Résolu,Equipe Sécurité
167,2022-09-19 12:47:51,Défaillance logicielle,Rester chien marchand étranger apercevoir printemps.,Faible,Résolu,Equipe Réseau
168,2022-10-12 14:34:07,Défaillance logicielle,Traiter demander part.,Moyenne,Résolu,Equipe Sécurité
169,2024-07-09 19:37:57,Intrusion,Maintenir asseoir confiance mort chien entrée.,Moyenne,Résolu,Equipe Réseau
170,2024-05-31 19:50:47,Intrusion,Inspirer découvrir grâce politique nombreux.,Moyenne,Résolu,Equipe Support
171,2023-05-12 16:45:39,Défaillance logicielle,Bande oser trois assister.,Élevée,En cours,Equipe Support
172,2023-06-26 13:20:12,Autre,Pas distinguer qualité juste rencontre haute.,Élevée,Ouvert,Equipe Support
173,2024-06-12 07:33:42,Intrusion,Confier nation bas.,Moyenne,Ouvert,Equipe Support
174,2024-02-19 00:53:39,Autre,Combat rassurer magnifique perdu fonction maladie.,Faible,Ouvert,Equipe Sécurité
175,2023-02-16 05:54:51,Autre,Pays tenir souvenir sourd voici.,Élevée,Ouvert,Equipe Réseau
176,2023-06-22 16:27:34,Autre,Sien mur caractère.,Faible,Ouvert,Equipe Support
177,2024-04-18 23:47:57,Panne matérielle,Point cerveau gauche dormir monsieur finir.,Élevée,En cours,Equipe Réseau
178,2024-07-24 14:07:14,Panne matérielle,Inspirer offrir séparer.,Élevée,Résolu,Equipe Sécurité
179,2022-10-28 18:16:58,Intrusion,Coup léger coucher accrocher désert courant.,Faible,Résolu,Equipe Sécurité
180,2023-05-20 22:51:35,Autre,Spectacle peser dont voile.,Élevée,En cours,Equipe Réseau
181,2024-02-13 17:37:15,Intrusion,Éclat choisir vert sortir si chaque.,Élevée,En cours,Equipe Support
182,2023-11-27 12:36:32,Autre,Bande général besoin vieux sérieux.,Moyenne,Résolu,Equipe Support
183,2022-09-16 13:28:25,Défaillance logicielle,Position vieillard endroit ensemble avancer donner.,Moyenne,En cours,Equipe Sécurité
184,2023-08-18 02:57:22,Défaillance logicielle,Dès presser vague juger.,Élevée,Résolu,Equipe Support
185,2024-07-12 12:30:07,Défaillance logicielle,Contre son avancer briller joindre.,Élevée,Résolu,Equipe Sécurité
186,2022-08-31 00:26:18,Autre,Foule tourner officier pleurer autorité est.,Faible,Résolu,Equipe Support
187,2023-12-06 01:55:49,Intrusion,Pencher cour objet phrase.,Faible,Ouvert,Equipe Réseau
188,2023-01-29 21:38:57,Autre,Tapis champ garde rideau sommeil.,Faible,Résolu,Equipe Sécurité
189,2023-02-25 05:22:59,Intrusion,Gris ah intelligence dessus.,Faible,En cours,Equipe Sécurité
190,2023-08-24 09:44:16,Défaillance logicielle,Visible colline relever détail signifier.,Moyenne,Ouvert,Equipe Réseau
191,2023-02-15 06:53:45,Intrusion,Attitude déposer fer.,Moyenne,En cours,Equipe Réseau
192,2022-10-15 09:56:48,Panne matérielle,Réunir réduire monsieur animer trait.,Faible,En cours,Equipe Réseau
193,2023-09-17 14:15:38,Intrusion,Fumée nombreux fonction chaud.,Faible,Ouvert,Equipe Réseau
194,2023-12-26 23:58:19,Défaillance logicielle,Membre découvrir escalier arracher produire avoir.,Moyenne,Ouvert,Equipe Sécurité
195,2022-12-28 01:01:13,Autre,Pointe caresser reculer chercher mauvais.,Faible,En cours,Equipe Sécurité
196,2023-02-08 01:49:27,Défaillance logicielle,Écraser sommet élément toujours.,Faible,Résolu,Equipe Support
197,2023-12-03 05:10:58,Autre,Supérieur toute jour remercier.,Moyenne,Ouvert,Equipe Support
198,2022-10-24 20:27:16,Intrusion,Importer drame courant révolution placer tirer.,Faible,Ouvert,Equipe Réseau
199,2023-09-16 15:15:11,Défaillance logicielle,Camarade haine cesse combat ministre.,Faible,Résolu,Equipe Sécurité
200,2022-11-15 11:39:17,Panne matérielle,Retourner mesure lever entourer.,Moyenne,Ouvert,Equipe Réseau
201,2024-04-05 17:48:16,Autre,Dresser signifier tendre arrivée.,Moyenne,En cours,Equipe Réseau
202,2024-03-17 11:25:27,Autre,Traiter coup souffler trois pousser acte.,Moyenne,Résolu,Equipe Réseau
203,2023-03-25 01:25:38,Défaillance logicielle,Abattre couche spectacle nourrir.,Faible,En cours,Equipe Sécurité
204,2022-11-28 15:42:57,Panne matérielle,Rejoindre différent brusquement.,Moyenne,Résolu,Equipe Réseau
205,2023-08-19 20:23:58,Panne matérielle,Air personnage cou main étoile.,Moyenne,Résolu,Equipe Sécurité
206,2023-07-24 14:43:45,Intrusion,Préférer impression affirmer.,Faible,En cours,Equipe Support
207,2023-10-03 10:38:58,Autre,Billet cruel mine respecter.,Moyenne,En cours,Equipe Réseau
208,2023-07-03 21:48:54,Intrusion,Lentement vie aider neuf.,Faible,En cours,Equipe Sécurité
209,2023-05-09 02:29:24,Défaillance logicielle,Puis pied jour image ventre coûter.,Moyenne,En cours,Equipe Réseau
210,2023-08-09 00:34:50,Intrusion,Appeler doigt ni mesure.,Moyenne,Résolu,Equipe Support
211,2022-12-02 12:53:18,Intrusion,Comme tuer effacer.,Élevée,Résolu,Equipe Réseau
212,2024-04-26 10:55:02,Défaillance logicielle,As admettre fatigue bleu.,Faible,En cours,Equipe Support
213,2023-07-26 07:22:01,Panne matérielle,Toujours vers arrivée sable montagne.,Faible,Ouvert,Equipe Support
214,2022-10-09 09:44:34,Panne matérielle,Lueur moindre sou échapper devant.,Élevée,Ouvert,Equipe Support
215,2024-04-01 11:39:48,Intrusion,Dame prêt ça sens encore faute.,Faible,Résolu,Equipe Réseau
216,2023-08-12 20:59:28,Défaillance logicielle,Milieu mentir huit ni façon.,Élevée,Ouvert,Equipe Sécurité
217,2024-04-08 15:34:57,Défaillance logicielle,Il amour moyen taille dresser marcher.,Faible,Ouvert,Equipe Sécurité
218,2022-09-27 15:00:48,Intrusion,Conversation corps accord.,Élevée,En cours,Equipe Sécurité
219,2024-01-18 06:41:54,Autre,Ouvrir prière tel consulter grain.,Moyenne,Résolu,Equipe Sécurité
220,2024-02-26 04:31:26,Défaillance logicielle,Encore douze officier nous parfois blond.,Élevée,En cours,Equipe Support
221,2023-08-28 17:38:48,Panne matérielle,Vraiment chien produire du attention droite.,Moyenne,Résolu,Equipe Réseau
222,2024-05-18 13:59:22,Panne matérielle,Résultat soleil vaincre roche rue lutte.,Moyenne,Résolu,Equipe Support
223,2023-08-14 07:07:15,Intrusion,Fidèle pensée exposer françois.,Faible,En cours,Equipe Réseau
224,2024-05-14 13:04:48,Panne matérielle,Droite couvrir fille parent.,Moyenne,En cours,Equipe Support
225,2023-08-09 07:58:30,Panne matérielle,Soir instinct empire imposer emporter prêter.,Faible,Résolu,Equipe Support
226,2024-05-26 00:42:24,Défaillance logicielle,Entrée croiser tempête poche.,Moyenne,Résolu,Equipe Sécurité
227,2024-07-22 19:15:07,Intrusion,Devoir davantage désormais conscience vieillard raconter.,Faible,Ouvert,Equipe Réseau
228,2023-05-08 17:01:52,Intrusion,Remarquer préparer séparer.,Élevée,Ouvert,Equipe Réseau
229,2022-12-27 20:25:18,Défaillance logicielle,Force corps pitié lier rencontrer présent.,Élevée,Résolu,Equipe Réseau
230,2024-02-29 23:16:13,Autre,Car détail traiter.,Moyenne,Résolu,Equipe Réseau
231,2023-05-14 11:43:59,Intrusion,Tout parler larme faim différent.,Faible,Résolu,Equipe Réseau
232,2024-06-20 12:48:41,Défaillance logicielle,Tenir achever cruel notre.,Élevée,En cours,Equipe Sécurité
233,2024-04-28 06:49:56,Panne matérielle,Loin remercier rompre paquet règle.,Moyenne,Résolu,Equipe Réseau
234,2024-04-17 12:18:22,Panne matérielle,Simple que retour poste prochain arrivée.,Faible,Ouvert,Equipe Support
235,2023-10-15 16:42:55,Autre,D'Autres cabinet part.,Moyenne,En cours,Equipe Support
236,2023-03-03 15:53:30,Défaillance logicielle,Dangereux combat accrocher baisser papier.,Élevée,Ouvert,Equipe Support
237,2023-09-20 15:56:03,Défaillance logicielle,Bon esprit vivre.,Moyenne,En cours,Equipe Réseau
238,2023-09-10 11:36:11,Intrusion,Doux abandonner camarade terrain déposer triste.,Moyenne,Ouvert,Equipe Sécurité
239,2024-01-07 20:06:22,Autre,Véritable importer dormir comprendre.,Élevée,Ouvert,Equipe Sécurité
240,2022-09-08 12:29:55,Autre,Emmener événement type tout.,Faible,Ouvert,Equipe Réseau
241,2023-12-13 10:59:35,Autre,Chien empire violence reposer tout grâce.,Moyenne,Ouvert,Equipe Sécurité
242,2022-11-13 04:24:02,Autre,Dent caractère théâtre.,Moyenne,En cours,Equipe Sécurité
243,2023-05-25 11:05:22,Intrusion,Troisième traiter commun sol éclat son.,Faible,Résolu,Equipe Support
244,2023-07-30 00:06:58,Intrusion,Poussière pendant représenter espérer.,Faible,En cours,Equipe Réseau
245,2023-09-14 16:50:52,Défaillance logicielle,Rire mariage maintenir oeil.,Moyenne,En cours,Equipe Support
246,2024-05-01 22:03:49,Défaillance logicielle,Arracher aimer peur accompagner cinq douleur.,Élevée,Résolu,Equipe Réseau
247,2023-03-24 16:16:13,Intrusion,Ennemi chaîne entretenir vêtement petit.,Moyenne,Résolu,Equipe Sécurité
248,2022-09-12 05:32:48,Autre,Réel attendre jeunesse.,Faible,Résolu,Equipe Réseau
249,2022-08-30 09:10:52,Défaillance logicielle,Paysan payer genre homme rôle vivre.,Moyenne,Ouvert,Equipe Support
